Year;Sector;Pollutant;RepShare;CalcShare
2005;GROUP_PowerIndustry;3;0.38939;0.61061
2005;GROUP_PowerIndustry;4;0.11604;0.88396
2005;GROUP_PowerIndustry;5;0.16601;0.83399
2005;GROUP_PowerIndustry;6;0.95718;0.04282
2005;GROUP_PowerIndustry;7;0.39525;0.60475
2005;GROUP_PowerIndustry;8;0.58054;0.41946
2005;GROUP_PowerIndustry;10;0.22411;0.77589
2005;GROUP_PowerIndustry;11;0.11755;0.88245
2005;GROUP_PowerIndustry;12;0.77132;0.22868
2005;GROUP_PowerIndustry;13;0.99656;0.00344
2005;GROUP_PowerIndustry;14;0.46583;0.53417
2005;GROUP_PowerIndustry;15;0.42104;0.57896
2005;GROUP_PowerIndustry;16;0.95672;0.04328
2005;GROUP_PowerIndustry;17;0.02468;0.97532
2005;GROUP_PowerIndustry;18;0.26512;0.73488
2005;GROUP_PowerIndustry;19;0.20282;0.79718
2005;GROUP_PowerIndustry;22;0.95602;0.04398
2005;GROUP_PowerIndustry;25;0.45455;0.54545
2005;GROUP_PowerIndustry;26;0.83026;0.16974
2005;GROUP_PowerIndustry;27;0.70235;0.29765
2005;GROUP_PowerIndustry;28;0.00000;1.00000
2005;GROUP_PowerIndustry;29;0.00000;1.00000
2005;GROUP_PowerIndustry;30;0.91419;0.08581
2005;GROUP_PowerIndustry;31;0.37905;0.62095
2005;GROUP_PowerIndustry;34;1.00000;0.00000
2005;GROUP_PowerIndustry;35;1.00000;0.00000
2005;GROUP_PowerIndustry;36;1.00000;0.00000
2005;GROUP_PowerIndustry;37;0.54054;0.45946
2005;GROUP_PowerIndustry;38;0.72186;0.27814
2005;GROUP_PowerIndustry;40;0.00000;1.00000
2005;GROUP_PowerIndustry;41;1.00000;0.00000
2005;GROUP_PowerIndustry;43;0.00000;1.00000
2005;GROUP_Products;1;0.00000;1.00000
2005;GROUP_Products;3;0.00000;1.00000
2005;GROUP_Products;4;1.00000;0.00000
2005;GROUP_Products;5;0.00000;1.00000
2005;GROUP_Products;7;0.00000;1.00000
2005;GROUP_Products;8;0.00000;1.00000
2005;GROUP_Products;12;0.00000;1.00000
2005;GROUP_Products;13;0.38303;0.61697
2005;GROUP_Products;14;0.00000;1.00000
2005;GROUP_Products;15;0.27864;0.72136
2005;GROUP_Products;16;0.00000;1.00000
2005;GROUP_Products;17;0.00000;1.00000
2005;GROUP_Products;18;0.00000;1.00000
2005;GROUP_Products;19;0.00000;1.00000
2005;GROUP_Products;22;0.93842;0.06158
2005;GROUP_Products;25;0.00000;1.00000
2005;GROUP_Products;27;0.48184;0.51816
2005;GROUP_Products;28;0.00000;1.00000
2005;GROUP_Products;29;0.00000;1.00000
2005;GROUP_Products;37;0.00000;1.00000
2005;GROUP_Products;38;0.00000;1.00000
2005;GROUP_Products;40;0.00000;1.00000
2005;GROUP_Products;43;0.00000;1.00000
2005;GROUP_Transport;1;0.00000;1.00000
2005;GROUP_Transport;3;0.00000;1.00000
2005;GROUP_Transport;4;0.98336;0.01664
2005;GROUP_Transport;5;0.00000;1.00000
2005;GROUP_Transport;6;0.20763;0.79237
2005;GROUP_Transport;7;0.00000;1.00000
2005;GROUP_Transport;8;0.00000;1.00000
2005;GROUP_Transport;10;;
2005;GROUP_Transport;11;;
2005;GROUP_Transport;12;0.00000;1.00000
2005;GROUP_Transport;13;0.00000;1.00000
2005;GROUP_Transport;14;0.00000;1.00000
2005;GROUP_Transport;15;0.00000;1.00000
2005;GROUP_Transport;16;0.00086;0.99914
2005;GROUP_Transport;17;0.00000;1.00000
2005;GROUP_Transport;18;0.00000;1.00000
2005;GROUP_Transport;19;0.00000;1.00000
2005;GROUP_Transport;22;0.00000;1.00000
2005;GROUP_Transport;25;0.00000;1.00000
2005;GROUP_Transport;26;0.00000;1.00000
